text,category
Do you provide on-premise installations?,General Inquiry
Requesting a bulk edit feature.,Feature Request
I was charged twice for my subscription.,Billing
Where are your servers located?,General Inquiry
I was charged twice for my subscription.,Billing
File upload doesn't complete.,Technical Issue
Do you offer student discounts?,General Inquiry
How do I delete my account?,Account Management
Need help understanding my billing statement.,Billing
My account was locked after too many attempts.,Account Management
Do you offer student discounts?,General Inquiry
Need help understanding my billing statement.,Billing
Do you offer student discounts?,General Inquiry
Why is my invoice amount incorrect?,Billing
Can you add multi-language support?,Feature Request
Need help understanding my billing statement.,Billing
My camera isn't working during video calls.,Technical Issue
I was charged twice for my subscription.,Billing
Why is my invoice amount incorrect?,Billing
I want to change my email address.,Account Management
I'd like to see integration with Google Calendar.,Feature Request
My account was locked after too many attempts.,Account Management
I want to change my email address.,Account Management
Need to update my password.,Account Management
What are your support hours?,General Inquiry
It would be great to have dark mode.,Feature Request
Payment failed but money was deducted.,Billing
Please add fingerprint login.,Feature Request
Payment failed but money was deducted.,Billing
Can't log in after the recent update.,Technical Issue
File upload doesn't complete.,Technical Issue
Can I get a refund for last month?,Billing
I'm experiencing frequent disconnections.,Technical Issue
Is there a way to contact sales directly?,General Inquiry
Is there a way to contact sales directly?,General Inquiry
Payment failed but money was deducted.,Billing
Can you add multi-language support?,Feature Request
Why is my invoice amount incorrect?,Billing
Can I get a refund for last month?,Billing
Can you add multi-language support?,Feature Request
Can I get a refund for last month?,Billing
Can't log in after the recent update.,Technical Issue
Can't verify my phone number.,Account Management
I'd like to see integration with Google Calendar.,Feature Request
Can't log in after the recent update.,Technical Issue
The app crashes every time I open it.,Technical Issue
Why is my invoice amount incorrect?,Billing
How do I delete my account?,Account Management
How do I delete my account?,Account Management
Can't log in after the recent update.,Technical Issue
Is there a way to contact sales directly?,General Inquiry
Where are your servers located?,General Inquiry
Is there a way to contact sales directly?,General Inquiry
Can't verify my phone number.,Account Management
Is there a way to contact sales directly?,General Inquiry
Do you offer student discounts?,General Inquiry
Why is my invoice amount incorrect?,Billing
Can you add multi-language support?,Feature Request
My account was locked after too many attempts.,Account Management
Is there a way to contact sales directly?,General Inquiry
I was charged twice for my subscription.,Billing
What are your support hours?,General Inquiry
Can you add multi-language support?,Feature Request
Why is my invoice amount incorrect?,Billing
I'd like to see integration with Google Calendar.,Feature Request
Payment failed but money was deducted.,Billing
Is there a way to contact sales directly?,General Inquiry
Can I get a refund for last month?,Billing
Is there a way to contact sales directly?,General Inquiry
Payment failed but money was deducted.,Billing
Can I get a refund for last month?,Billing
Do you offer student discounts?,General Inquiry
Can I get a refund for last month?,Billing
Can you add multi-language support?,Feature Request
I was charged twice for my subscription.,Billing
Why is my invoice amount incorrect?,Billing
Need to update my password.,Account Management
The app crashes every time I open it.,Technical Issue
Payment failed but money was deducted.,Billing
I was charged twice for my subscription.,Billing
The app crashes every time I open it.,Technical Issue
Why is my invoice amount incorrect?,Billing
Payment failed but money was deducted.,Billing
Can I get a refund for last month?,Billing
Please add fingerprint login.,Feature Request
I'd like to see integration with Google Calendar.,Feature Request
What are your support hours?,General Inquiry
Is there a way to contact sales directly?,General Inquiry
I want to change my email address.,Account Management
Please add fingerprint login.,Feature Request
Need help understanding my billing statement.,Billing
Need to update my password.,Account Management
I was charged twice for my subscription.,Billing
Do you provide on-premise installations?,General Inquiry
